raw_value,count,mapped_facility
royal green clinic,1,Royal Green Hospital
premiun care clinic,1,C-Care
clab albion,1,C-Lab
trefles chc,1,Trèfles CHC
c clab wellkinn,1,C-Lab
c lab wellkinn,1,C-Lab
vh unsorted,1,Victoria Hospital
l'escalier medi clinic,1,L'Escalier Mediclinic
cpe ahc,1,Curepipe AHC
saj hospital,1,Sir Anerood Jugnauth Hospital
cdarne,1,C-Care Darné
private gp,1,
agjh a&e,1,Dr A. G. Jeetoo Hospital
tombeau baie chc,1,Tombeau Bay CHC
none - dbs taken by hso,1,
c clab darne,1,C-Care Darné
cap malheureux chc,1,Cap Malheureux CHC
jnh unsorted opd,1,Dr A. G. Jeetoo Hospital
dr a g jeetoo hospital,1,Dr A. G. Jeetoo Hospital
wellkin level 4,1,Wellkin Hospital
jh fast tract,1,Dr A. G. Jeetoo Hospital
lady twinning chc,1,Lady Twining AHC
cap malheureux,1,Cap Malheureux CHC
jnh unsorted,1,Jawaharlal Nehru Hospital
fever watch by mahebourg health office,1,
agjh wd 3.1,1,Dr A. G. Jeetoo Hospital
jnh a&e,1,Jawaharlal Nehru Hospital
lefe,1,
rphi,1,
nouvelle clinic du bon pasteur,1,Clinique du Bon Pasteur
c lab wellkn,1,C-Lab
fever watch by hso souillac,1,
life med clinic,1,Life Medical Clinic
lab villes soeurs,1,Laboratoire des Villes Soeurs
uns jeetoo,1,Dr A. G. Jeetoo Hospital
ltk chc,1,
petite riviere ahc,1,Petite Rivière Mediclinic
nouvelle clinique du bon pasteur,1,Clinique du Bon Pasteur
vh c12,1,Victoria Hospital
vh 16b,1,Victoria Hospital
life nova plus,1,Life Medical Clinic
pamplemousses health office,1,
rhs,1,
novalab phoenix,1,Novalab
medisave lab,1,Medisave
c care mont choisy,1,C-Care
life forbach,1,Life Medical Clinic
mediclinic plaine verte,1,Plaine Verte Mediclinic
qbornes ahc,1,Quatre Bornes AHC
rose hill ahc,1,Rose Hill AHC
laboratoire des villes soeurs,1,Laboratoire des Villes Soeurs
life medical clinic bon pasteur,1,Life Medical Clinic
c-care darne,1,C-Care Darné
hso,1,
vh 03 may 2026,1,
smc 03 may 2026,1,
"life nova plus, tamarin",1,Life Medical Clinic
"c care, moka",1,C-Care
"c care, grand bay",1,C-Care
health office- contact,1,
lescalier mc,1,L'Escalier Mediclinic
seen by hso on 05 may 26,1,
ag jh,1,Dr A. G. Jeetoo Hospital
aed dr ag jh,1,Dr A. G. Jeetoo Hospital
st pierre lhc,1,St Pierre LHC
paeds ft,1,Dr A. G. Jeetoo Hospital
odelette leal chc,1,Odette Leal CHC
floreal mediclinic,1,Floréal Mediclinic
yues cantin chc,1,Yves Cantin CHC
"private gp,test done at c lab",1,
long mountain hospital,1,Long Mountain Hospital
odette chc,1,Odette Leal CHC
test done by hso during fever survey,1,
r.hill ahc,1,Rose Hill AHC
c care welkin,1,C-Care
yves cantin,1,Yves Cantin CHC
paeds opd jh,1,Dr A. G. Jeetoo Hospital
ward 2-2,1,
l'escalier mc,1,L'Escalier Mediclinic
hyderkhan mc,1,Hyderkhan Mediclinic
medisave clinic,1,Medisave
city clinic grand baie,1,City Clinic
goodlands mediclinic,1,Goodlands Mediclinic
gmc,1,
phi did test,1,
jnh-unsorted,1,Jawaharlal Nehru Hospital
rose belle hso,1,
vh paeds,1,Victoria Hospital
jh 1.1,1,Dr A. G. Jeetoo Hospital
clc chc,1,
artemis hospital,1,Artemis Hospital
"vh, wellkin hospital",1,Victoria Hospital
pailles east chc,1,Pailles CHC
curepipe health office,1,
vh lab,1,Victoria Hospital
biosante,1,Biosanté Laboratory
agkh uns,1,Dr A. G. Jeetoo Hospital
c grenier ahc,1,Chemin Grenier AHC
unsorted opd jnh,1,Dr A. G. Jeetoo Hospital
coromandal mc,1,Coromandel Mediclinic
phoenix chc,1,Phoenix CHC
city clinic p.louis,1,City Clinic
coramandel mediclinic,1,Coromandel Mediclinic
2026-05-13 00:00:00,1,
jh ward 3-6,1,Dr A. G. Jeetoo Hospital
health office plouis,1,
ssrnh ward 2-1,1,Sir Seewoosagur Ramgoolam National Hospital
bel air riv seche mediclinic,1,Bel Air Mediclinic
artemis hosp,1,Artemis Hospital
"c lab wellkin hospital, moka",1,C-Lab
c lab cdarne,1,C-Care Darné
laboratoire medical des ville soeurs,1,Laboratoire des Villes Soeurs
tombeau bay chc,1,Tombeau Bay CHC
fast track agjh,1,Dr A. G. Jeetoo Hospital
lab medisave quatre bornes,1,Medisave
admitted icu,1,
admitted 3.5,1,
fast tract,1,Dr A. G. Jeetoo Hospital
fever watch by pl ho,1,
na,1,
bel air mediclinic,1,Bel Air Mediclinic
